Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Luis Campusano","SDP",31,126,112,27,18,5,0,4,14,14,12,0,26,1,1,0,,0,0,0.242908,0.0949178,0.208121,0.45607,0.318995,0.394259,0.314687,0.713254,0.151351,2.02249,0.281414,0.014816,-0.151758,14.784,-0.189341,100.845,-0.136942,-1.18892,-0.007908686995506287,0.22774744033813477,0.436739,999,,,,,,,130.3,4.203225806,130.3,4.203225806,,,,,,,,,,,,,,,,,,,"Luis Campusano","22217",669134
"Vinnie Pasquantino","KCR",37,158,141,36,23,8,0,5,19,20,14,0,24,1,1,0,,1,0,0.258459,0.0902916,0.149359,0.604528,0.329802,0.432828,0.332659,0.762629,0.174369,3.39356,0.274157,-0.156957,-0.0977088,20.8834,2.06522,110.119,-0.254666,0.00278953,1.6112869679927826,-2.9661919774953276,0.434896,77.0999984741211,,,,,,,177.7,4.802702702,177.7,4.802702702,,,,,,,,,,,,,,,,,,,"Vinnie Pasquantino","27676",686469
"Joc Pederson","TEX",34,147,128,31,19,5,0,6,19,19,15,0,33,3,1,0,,1,0,0.240892,0.10512,0.224813,0.467588,0.332192,0.434792,0.335634,0.766984,0.193901,3.71684,0.274986,-0.0528205,-0.163528,19.7818,2.27583,116.687,-0.216348,0,2.646306276321411,-3.674999952316284,0.428064,999,,,,,,,172.4,5.070588235,172.4,5.070588235,,,,,,,,,,,,,,,,,,,"Joc Pederson","11899",592626
"Luke Raley","SEA",32,140,124,29,17,5,0,6,17,18,9,0,42,5,1,0,,2,1,0.230912,0.0676149,0.300409,0.225076,0.308574,0.415671,0.31732,0.724245,0.184758,4.60271,0.297295,-0.0488583,-0.0309172,16.7243,0.0879731,109.178,-0.0797755,-0.385145,1.41651651263237,-2.1927067041397095,0.427218,748.25,,,,,,,152.3,4.759375,152.3,4.759375,,,,,,,,,,,,,,,,,,,"Luke Raley","19354",670042
"Alan Roden","MIN",30,131,114,28,19,6,0,3,15,13,12,0,24,3,1,0,,1,0,0.24476,0.0955989,0.187424,0.510068,0.330961,0.371067,0.313914,0.702027,0.126307,3.88699,0.28652,-0.00269389,-0.0537789,15.267,-0.278419,99.391,-0.0564728,1.03016,-0.14925047382712364,-0.30301594734191895,0.426884,999,,,,,,,135.3,4.51,135.3,4.51,,,,,,,,,,,,,,,,,,,"Alan Roden","31564",702176
"Lane Thomas","KCR",39,169,151,37,23,8,1,5,20,20,15,0,40,2,1,1,,5,2,0.242857,0.0880944,0.234801,0.375188,0.315666,0.401349,0.315413,0.717015,0.158492,5.27009,0.295707,0.0368595,-0.0243017,20.0263,-0.15545,98.1334,0.0125578,-1.04785,-0.3566036354750395,-1.4895117580890656,0.426564,726.6699829101562,,,,,,,187,4.794871794,187,4.794871794,,,,,,,,,,,,,,,,,,,"Lane Thomas","16939",657041
"Kody Clemens","MIN",38,165,151,35,21,7,1,7,21,21,11,0,39,1,1,1,,3,1,0.235698,0.0672808,0.238603,0.281978,0.292437,0.434615,0.314079,0.727052,0.198916,5.58675,0.271269,0.0154953,0.0421383,19.3068,-0.329539,99.5061,0.0576336,-1.83686,-0.03741097077727318,-1.6732831597328186,0.423706,700.7000122070312,,,,,,,175.7,4.62368421,175.7,4.62368421,,,,,,,,,,,,,,,,,,,"Kody Clemens","20572",665019
"Taylor Trammell","HOU",28,119,104,24,14,5,0,4,15,15,13,0,35,1,1,0,,4,1,0.229198,0.106981,0.290913,0.367742,0.319362,0.412927,0.321836,0.732288,0.183729,5.34206,0.296158,-0.00975575,0.0878765,14.6929,0.511073,106.253,0.0781207,-0.578928,0.9471595510840416,-1.084484040737152,0.417345,999,,,,,,,129.3,4.617857142,129.3,4.617857142,,,,,,,,,,,,,,,,,,,"Taylor Trammell","19960",666211
"Tyler Stephenson","CIN",35,138,122,30,19,6,0,5,16,17,13,0,36,1,1,0,,0,0,0.245721,0.0950829,0.258228,0.368212,0.323577,0.417834,0.325259,0.741411,0.172113,2.44507,0.303972,-0.0390422,-0.175231,17.3722,0.973301,99.4275,-0.214273,-2.32861,-0.3100084140896797,-0.06240558624267578,0.416153,294.75,,,,,,,152.4,4.354285714,152.4,4.354285714,,,,,,,,,,,,,,,,,,,"Tyler Stephenson","17988",663886
"Jeff McNeil","ATH",37,159,142,36,25,8,0,2,18,15,12,0,21,3,1,1,,2,0,0.252182,0.0767149,0.131039,0.585435,0.320726,0.360684,0.304022,0.681411,0.108502,4.00814,0.279135,-0.165748,-0.0251117,17.2842,-1.61118,90.4189,-0.19086,0.031963,-1.9649414271116257,0.3652963601052761,0.412431,440.5199890136719,,,,,,,150.4,4.064864864,150.4,4.064864864,,,,,,,,,,,,,,,,,,,"Jeff McNeil","15362",643446
"Dylan Beavers","BAL",30,131,114,27,18,6,1,3,17,14,15,0,30,1,1,1,,4,1,0.240634,0.113066,0.229682,0.492271,0.329657,0.38852,0.318719,0.718176,0.147886,5.3742,0.295592,-0.00425065,0.10927,15.7757,0.230293,104.972,0.105019,-0.165812,0.8624561578035355,-1.466275081038475,0.411519,505.0400085449219,,,,,,,141.3,4.71,141.3,4.71,,,,,,,,,,,,,,,,,,,"Dylan Beavers","31695",687637
"Roman Anthony","BOS",18,76,65,17,11,4,0,2,11,9,10,0,18,0,0,0,,1,0,0.261238,0.127481,0.240667,0.529698,0.358543,0.432498,0.347822,0.791041,0.17126,4.84975,0.329105,0.025153,-0.0503243,10.9857,1.9291,119.455,-0.0251713,0.716183,1.7014826741069555,-0.370236873626709,0.410374,50.75,,,,,,,92.5,5.138888888,92.5,5.138888888,,,,,,,,,,,,,,,,,,,"Roman Anthony","31812",701350
"Victor Caratini","MIN",28,112,99,24,17,4,0,3,12,11,9,0,21,2,1,0,,0,0,0.245224,0.0801154,0.190849,0.419784,0.319482,0.374884,0.308916,0.694366,0.12966,2.45663,0.283133,-0.110083,-0.125986,12.6473,-0.692941,95.918,-0.23607,0.127442,-0.7697034925222397,0.8144785314798355,0.410215,681.02001953125,,,,,,,108.2,3.864285714,108.2,3.864285714,,,,,,,,,,,,,,,,,,,"Victor Caratini","14968",605170
"Trevor Larnach","MIN",33,144,127,32,21,6,0,4,17,17,15,0,32,1,1,0,,1,1,0.251232,0.102322,0.220674,0.46368,0.333033,0.408846,0.32684,0.74188,0.157614,3.4916,0.300562,-0.0415486,-0.191871,18.3865,1.20475,108.374,-0.23342,-0.53075,1.1765151023864746,-2.3055959939956665,0.408028,748.52001953125,,,,,,,154.3,4.675757575,154.3,4.675757575,,,,,,,,,,,,,,,,,,,"Trevor Larnach","21501",663616
"Dylan Crews","WSN",42,181,163,39,25,7,1,6,21,19,13,0,42,3,1,1,,6,2,0.236457,0.0698107,0.234165,0.298125,0.302472,0.392335,0.305497,0.694806,0.155877,5.55894,0.283869,0.0422887,0.270455,19.9247,-1.62073,91.0501,0.312744,0.991475,-1.6535146832466125,-0.2271978259086609,0.405691,282.2200012207031,,,,,,,191.6,4.561904761,191.6,4.561904761,,,,,,,,,,,,,,,,,,,"Dylan Crews","33541",686611
"Brett Baty","NYM",25,110,98,24,16,4,0,4,13,13,10,0,28,1,1,0,,1,0,0.242461,0.0868625,0.255427,0.340067,0.313236,0.401344,0.313945,0.71458,0.158883,3.7893,0.299774,-0.0138978,-0.0480473,12.8592,-0.231642,99.9194,-0.061945,0.743636,-0.07270052377134562,0.4819074273109436,0.403832,292.9200134277344,,,,,,,120.5,4.82,120.5,4.82,,,,,,,,,,,,,,,,,,,"Brett Baty","26123",683146
"Sean Murphy","ATL",22,87,76,17,10,4,0,3,10,11,8,0,23,2,1,0,,0,0,0.228725,0.0925753,0.259979,0.356087,0.315616,0.410229,0.319396,0.725845,0.181505,2.75458,0.276624,-0.0148966,-0.0818318,10.5295,0.200613,99.849,-0.0967284,0.284421,-0.11263410747051239,1.2510876059532166,0.401315,746.0599975585938,,,,,,,89,4.045454545,89,4.045454545,,,,,,,,,,,,,,,,,,,"Sean Murphy","19352",669221
"Heliot Ramos","SFG",51,219,199,50,32,9,1,7,27,26,15,0,55,3,2,1,,2,1,0.250588,0.0706019,0.250591,0.281741,0.311178,0.416593,0.317595,0.727771,0.166005,4.1983,0.307412,-0.048545,-0.212555,26.3071,0.187058,101.464,-0.2611,-0.534294,0.12886998057365417,-3.3176271319389343,0.399701,218.8000030517578,,,,,,,233.6,4.580392156,233.6,4.580392156,,,,,,,,,,,,,,,,,,,"Heliot Ramos","22515",671218
"Carlos Narváez","BOS",26,104,92,20,14,4,0,3,11,11,10,0,29,1,1,1,,1,0,0.221933,0.0918394,0.277223,0.331283,0.301222,0.354418,0.293077,0.65564,0.132485,2.85507,0.290884,-0.042,-0.0870775,10.4356,-1.98484,81.4114,-0.129077,0.476791,-2.3915579468011856,2.513828605413437,0.390101,443.010009765625,,,,,,,94.7,3.642307692,94.7,3.642307692,,,,,,,,,,,,,,,,,,,"Carlos Narvaez","19722",665966
"Ryan O'Hearn","PIT",43,188,168,43,29,8,0,6,22,21,16,0,38,2,1,1,,1,0,0.258101,0.0839706,0.204499,0.410615,0.326336,0.410435,0.323484,0.73677,0.152334,3.21372,0.301617,-0.104805,-0.16357,23.4205,1.05691,101.189,-0.268375,1.00191,0.0028656721115112305,-2.2696919441223145,0.389193,285.44000244140625,,,,,,,208.3,4.844186046,208.3,4.844186046,,,,,,,,,,,,,,,,,,,"Ryan O'Hearn","16442",656811
"Nolan Schanuel","LAA",41,176,154,40,29,7,0,3,20,17,18,0,25,3,1,0,,2,0,0.260169,0.102393,0.142994,0.716067,0.344626,0.371614,0.320506,0.71624,0.111445,3.35772,0.291,-0.159236,-0.132805,21.5666,0.566608,103.544,-0.292041,0.306523,0.43732404708862305,-2.9078289568424225,0.388143,594.6599731445312,,,,,,,185.3,4.519512195,185.3,4.519512195,,,,,,,,,,,,,,,,,,,"Nolan Schanuel","33189",694384
