Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Kris Bubic","KCR",8,7,,3.57565,25,21,,,,118.3,507,110,50,47,10,40,2,3,115,8.74894,3.04311,2.875,0.760778,0.226824,0.0788955,0.14792899787425995,0.237069,1.26796,0.294985,0.735294,,,3.38028,2.578,2.4552,999,,,,,,,567.4200225830077,4.796449771305196,562.5000152587891,4.754860530415099,,,,,,,,,,,,,,,,,,,"Kris Bubic","21455",663460
"Ranger Suarez","BOS",10,7,,3.7554,25,24,,,,139,600,142,62,58,14,43,1,4,116,7.51079,2.78417,2.69767,0.906475,0.193333,0.0716667,0.12166666239500046,0.256781,1.33094,0.3026,0.743652,,,3.78981,2.44376,2.65801,999,,,,,,,578.2,4.159712230215828,604,4.345323741007194,,,,,,,,,,,,,,,,,,,"Ranger Suarez","17277",624133
"Pablo López","MIN",9,8,,3.94161,24,24,,,,137,580,133,64,60,16,36,0,6,128,8.40876,2.36496,3.55556,1.05109,0.22069,0.062069,0.1586206890642643,0.247212,1.23358,0.296954,0.716235,,,3.70448,2.4221,2.10675,999,,,,,,,601.2000000000003,4.3883211678832135,607,4.430656934306569,,,,,,,,,,,,,,,,,,,"Pablo Lopez","17085",641154
"Jack Leiter","TEX",9,8,,4.01274,26,26,,,,141.3,584,120,67,63,16,50,0,4,128,8.15287,3.18471,2.56,1.01911,0.219178,0.0856164,0.1335616409778595,0.226415,1.20311,0.26943,0.697832,,,3.94193,2.41562,1.91585,999,,,,,,,630.8200225830078,4.464402045001656,592.5000152587891,4.193205962223213,,,,,,,,,,,,,,,,,,,"Jack Leiter","30146",683004
"Taj Bradley","MIN",7,7,,4.08234,26,26,,,,143.3,599,131,70,65,17,45,0,4,130,8.16469,2.82624,2.88889,1.06769,0.217028,0.0751252,0.14190316945314407,0.238182,1.22819,0.282878,0.696452,,,3.8888,2.38034,1.88443,999,,,,,,,623.7200225830079,4.352547168877098,608.5000152587891,4.24633637334263,,,,,,,,,,,,,,,,,,,"Taj Bradley","22543",671737
"Zebby Matthews","MIN",7,6,,3.93277,23,22,,,,119,503,115,56,52,15,29,0,2,118,8.92437,2.19328,4.06897,1.13445,0.234592,0.0576541,0.17693837732076645,0.243644,1.21008,0.294985,0.715447,,,3.57211,2.33911,1.77581,999,,,,,,,540.0999999999999,4.538655462184873,543,4.563025210084033,,,,,,,,,,,,,,,,,,,"Zebby Matthews","31827",805673
"Robby Snelling","MIA",9,7,,3.72985,25,25,,,,130.3,547,119,58,54,14,41,0,3,120,8.28856,2.83193,2.92683,0.966999,0.219378,0.0749543,0.14442413300275803,0.236581,1.22794,0.284553,0.726496,,,3.70306,2.33083,2.50685,999,,,,,,,590.6200225830079,4.532770596700613,577.5000152587891,4.432079829110935,,,,,,,,,,,,,,,,,,,"Robby Snelling","31893",702281
"Logan Gilbert","SEA",8,5,,3.61746,26,25,,,,144.3,590,126,62,58,19,36,1,5,146,9.10603,2.24532,4.05556,1.18503,0.247458,0.061017,0.18644067272543907,0.229508,1.12266,0.278646,0.738552,,,3.67568,2.3246,2.26971,999,,,,,,,675.5200225830077,4.681358338854025,643.5000152587891,4.459459470891191,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
"Bubba Chandler","PIT",8,6,,3.73846,27,25,,,,130,541,112,58,54,13,43,0,10,120,8.30769,2.97692,2.7907,0.9,0.221811,0.0794824,0.14232901483774185,0.229508,1.19231,0.278873,0.709064,,,3.81206,2.29489,2.49736,999,,,,,,,591.9000000000001,4.553076923076924,562,4.323076923076923,,,,,,,,,,,,,,,,,,,"Bubba Chandler","29868",696149
"Jonah Tong","NYM",10,8,,3.90687,27,26,,,,126.7,529,108,59,55,15,45,0,2,134,9.51855,3.19653,2.97778,1.06551,0.253308,0.0850662,0.1682419553399086,0.224066,1.20758,0.279279,0.712121,,,3.67184,2.2921,1.85961,999,,,,,,,599.2799774169923,4.7299131164289,565.4999847412109,4.4632991188801805,,,,,,,,,,,,,,,,,,,"Jonah Tong","32157",804636
