Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tyler Gentry","DET",109,433,386,88,56,20,2,10,46,49,36,9,127,6,3,2,0,5,2,0.227979,0.0831409,0.293303,0.283465,0.301624,0.367876,0.28673,0.6695,0.139896,4.55644,0.309524,,-0.406584,41.9074,-9.25486,79.0444,-0.406584,4.5,-11.101104587316513,-0.27292776107788086,0.361553,999,,,,,,,400.1,3.670642201,400.1,3.670642201,,,,,,,,,,,,,,,,,,,"Tyler Gentry","27784",694355
"Brendan Rodgers","BOS",98,377,345,84,57,19,1,7,40,40,27,11,92,3,2,0,0,0,1,0.243478,0.071618,0.244032,0.293478,0.302387,0.365217,0.281859,0.667605,0.121739,2.49785,0.310484,,-0.911245,34.9967,-9.54875,74.5098,-0.911245,1.4,-12.237498462200165,2.7852145433425903,0.360909,999,,,,,,,339.2,3.461224489,339.2,3.461224489,,,,,,,,,,,,,,,,,,,"Brendan Rodgers","17907",663898
"Sam Kulasingam","KCR",128,526,466,114,86,21,5,2,62,42,42,7,97,3,4,11,1,10,6,0.244635,0.0798479,0.184411,0.43299,0.308738,0.324034,0.27666,0.632772,0.0793991,5.67549,0.301887,,-1.27571,46.608,-15.543,72.1078,-1.27571,2,-18.567535877227783,3.932686686515808,0.355526,999,,,,,,,417.8,3.2640625,417.8,3.2640625,,,,,,,,,,,,,,,,,,,"Sam Kulasingam","sa3025316",814528
"Max Stassi",,63,232,205,41,28,8,0,5,21,22,22,7,66,4,1,0,0,1,0,0.2,0.0948276,0.284483,0.333333,0.288793,0.312195,0.258539,0.600988,0.112195,2.51788,0.266667,,-0.110279,17.1438,-10.2688,65.0858,-0.110279,1.2,-9.710564225912094,5.462198972702026,0.35482,999,,,,,,,174.7,2.773015873,174.7,2.773015873,,,,,,,,,,,,,,,,,,,"Max Stassi","10059",545358
"Ivan Johnson","CIN",96,353,315,68,41,15,2,10,44,41,31,4,115,5,2,0,0,8,2,0.215873,0.0878187,0.325779,0.269565,0.294618,0.371429,0.288774,0.666046,0.155556,6.0519,0.302083,,0.299043,34.7505,-6.95915,78.5242,0.299043,4.3,-8.68595364689827,0.4089066982269287,0.354391,999,,,,,,,332.3,3.461458333,332.3,3.461458333,,,,,,,,,,,,,,,,,,,"Ivan Johnson","27593",671155
"Shawn Ross","PIT",81,298,265,46,27,11,0,8,28,30,27,4,130,4,1,1,0,2,1,0.173585,0.090604,0.436242,0.207692,0.259259,0.30566,0.248084,0.56492,0.132075,2.83416,0.296875,,-0.366008,19.4914,-15.7196,53.6473,-0.366008,4.8,-16.737395226955414,10.274721145629883,0.352863,999,,,,,,,193.7,2.391358024,193.7,2.391358024,,,,,,,,,,,,,,,,,,,"Shawn Ross","32054",676566
"Taylor Walls","TBR",107,346,304,64,44,13,2,5,42,31,36,3,81,1,3,2,0,13,4,0.210526,0.104046,0.234104,0.444444,0.293605,0.315789,0.26979,0.609394,0.105263,6.20659,0.266968,,0.447,28.7284,-12.1541,69.5095,0.447,-0.3,-11.987078070640564,3.5139328837394714,0.351889,999,,,,,,,275,2.570093457,275,2.570093457,,,,,,,,,,,,,,,,,,,"Taylor Walls","22458",670764
"Cole Messina","COL",111,432,393,90,65,19,1,5,34,38,33,10,83,5,1,0,1,6,4,0.229008,0.0763889,0.19213,0.39759,0.296296,0.320611,0.266422,0.616907,0.0916031,3.26463,0.277778,,-1.05202,34.6878,-16.3564,54.4396,-1.05202,5.5,-24.37938129901886,13.43650770187378,0.350476,999,,,,,,,333,3,333,3,,,,,,,,,,,,,,,,,,,"Cole Messina","sa3025359",701783
"Francisco Urbaez","CIN",98,394,355,91,64,20,2,5,43,41,30,7,56,4,4,1,1,3,3,0.256338,0.0761421,0.142132,0.535714,0.318066,0.366197,0.29446,0.684263,0.109859,3.6698,0.288591,,-1.2293,40.6058,-5.94837,82.4197,-1.2293,-1.7,-9.438819885253906,-0.2523221969604492,0.349232,999,,,,,,,370.3,3.778571428,370.3,3.778571428,,,,,,,,,,,,,,,,,,,"Francisco Urbaez","sa3014944",688005
"Jesse Winker",,97,345,289,66,45,12,1,8,36,36,48,5,77,5,2,1,1,3,1,0.228374,0.13913,0.223188,0.623377,0.34593,0.359862,0.312568,0.705792,0.131488,3.46055,0.281553,,-0.423473,40.628,-0.136423,103.005,-0.423473,0,0.8054110705852509,-8.873456954956055,0.348551,999,,,,,,,358.2,3.692783505,358.2,3.692783505,,,,,,,,,,,,,,,,,,,"Jesse Winker","13590",608385
