feature,reliability_r,stabilize_n,pred_split_r,pred_yoy_r,pred_yoy_paxw_r,curr_r,n_split,n_pairs
relStdX,0.9476312614614842,38.47157534977932,-0.09060973709848757,-0.005475606377379478,0.0021855576667435903,-0.11274990919523248,4202,898
extension,0.9961630164184639,2.6814318503120025,0.0886060051467126,0.11248289551641849,-0.11664053258060295,0.11337277740772322,4202,898
earlyActionPct,0.46586091151937914,798.1882415540499,-0.08349185198984675,-0.2524335061349921,0.2626515370328038,-0.17955872197085251,4202,898
locScatter,0.8524877716373057,120.46117705964943,-0.08288954418938299,0.03622980632304036,-0.06060602700790465,-0.11398555432990304,4202,898
pullPct,0.33310278477615274,1393.7596179554218,-0.08064591313612679,-0.11689291996503004,0.11632076760414516,-0.16970006832167409,4202,898
oppoPct,0.2989511146364349,1632.5081684239092,0.08038906821610632,0.143354579243713,-0.11937376620460742,0.21692164324517682,4202,898
airPullPct,0.40246898753790455,1033.5589836547304,-0.07300453092775541,-0.1092828421146899,0.08701969981991017,-0.23764678511062154,4202,898
ldPct,0.06003256845996806,10900.166159837216,-0.0728595750568291,-0.17130227936913614,0.15880841658986325,-0.3480587078508796,4202,898
babip,0.0944000988505147,6678.380422254976,-0.0709671058365857,-0.06421458004376235,0.06399045879189573,-0.3014302832569374,4202,898
gbPct,0.6767159455015352,332.571562746786,0.05829857211421701,0.07306659107978648,-0.04727684730667538,0.13758040185414147,4202,898
fbPct,0.5480442847525816,574.0998937027939,-0.05791596831384483,-0.05164779728270861,0.025510478779593494,-0.08952859011592162,4202,898
izPct,0.7119038547454878,281.72367162176096,0.0577075443599781,0.028164489865638933,-0.01842715257061114,0.08606048957993892,4202,898
heartPct,0.608761546755696,447.40574692260105,0.057321391353176016,0.0577776980712806,-0.04814495110035497,0.08272364728213193,4202,898
puPct,0.39038232123365263,1087.112896270833,0.05295422580132745,0.07874154177248846,-0.08748576132615968,0.1746758111262495,4202,898
avgHrDist,0.04529097621643342,14674.610493582994,-0.05226041091092927,-0.09119117460116062,0.07343740529963233,-0.20848615794745284,4062,897
bbPct,0.4362458618964287,899.633583191775,-0.049096753661452504,0.04372702464348315,-0.05817767032109289,-0.19182077625250252,4202,898
medLA,0.6772590492592568,331.7466104841628,-0.034067660158883115,-0.04781557242073355,0.021266944442642512,-0.07724265100953723,4202,898
platoonGap,0.023559794440429254,28852.36339220921,0.0157099370473307,0.01126384478749095,-0.008558240724332762,-0.017647286034810233,4108,898
relStdZ,0.8414677167786949,131.15579751905673,0.010279013319847529,0.055141646093905254,-0.044007515912319245,0.014284313402587945,4202,898
izSwingPct,0.6166622562164008,432.7543596191191,-0.007290247778608517,-0.023280918592680003,0.010888845703724167,-0.042385374904098105,4202,898
zoneBehindPct,0.4422541898270736,877.9536675189714,0.00723923635688126,-0.024107270639574102,0.0296018859872379,0.0651148364125432,4202,898
middlePct,0.0607684212137794,10759.744766440843,0.0027163124074500557,-0.010402001793398126,-0.01762982874967911,-0.036347027025223896,4202,898
