mlbam,fangraphs,bbref,retro,last,first,birthYear
116410,1006281,irwinwa01,irwiw101,Irwin,Walt,1897
123361,1013083,tisinja01,tisij101,Tising,Jack,1903
119499,1009307,mullijo02,mullj101,Mulligan,Joe,1913
677951,25764,wittbo02,wittb002,Witt,Bobby,2000
819692,,dunbave01,dunbv101,Dunbar,Vet,
476704,4418,lowrije01,lowrj001,Lowrie,Jed,1984
115069,1004975,graymi01,graym101,Gray,Milt,1914
113092,1003032,davieje01,davij105,Davie,Jerry,1933
117470,1007314,langdo01,langd102,Lang,Don,1915
112736,52,counscr01,counc001,Counsell,Craig,1970
623520,14593,boteda01,boted002,Bote,David,1993
113536,1003471,dozied.01,dozid001,Dozier,D. J.,1965
502011,10500,claibpr01,claip001,Claiborne,Preston,1988
119577,1009400,murrato02,murrt101,Murray,Tony,1904
679563,24388,rodrijo09,rodrj008,Rodriguez,José,2001
124292,1013980,willich01,willc101,Williams,Charlie,1947
115861,1005741,hershor01,herso001,Hershiser,Orel,1958
116244,1006118,hriniwa01,hrinw101,Hriniak,Walt,1943
118849,1008663,mcnaugo01,mcnag102,McNaughton,Gordon,1910
118965,1008777,mercema01,mercm101,Mercer,Mark,1954
605513,16207,turnbsp01,turns003,Turnbull,Spencer,1992
122628,1012371,squirmi01,squim001,Squires,Mike,1952
122716,1012460,stegmda01,stegd001,Stegman,Dave,1954
112029,1001994,carrle01,carrl101,Carr,Lew,1872
120349,1010121,pedrial01,pedra001,Pedrique,Al,1960
122124,1011865,shepara01,shepr101,Shepardson,Ray,1897
572810,9261,denniry01,dennr001,Dennick,Ryan,1987
118108,1007940,maddefr01,maddf101,Madden,Frank,1891
110648,1000630,bartobo01,bartb101,Barton,Bob,1941
121191,1010945,riddldo01,riddd101,Riddlemoser,Dorsey,1875
276376,828,johnsni01,johnn001,Johnson,Nick,1978
113372,1003306,dillopa01,dillp102,Dillon,Packy,1853
458668,9187,danksjo02,dankj002,Danks,Jordan,1986
