Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Mauricio Dubón","ATL",49,211,195,51,36,10,1,4,23,23,12,0,28,1,1,1,,2,1,0.258599,0.056499,0.131409,0.429947,0.303175,0.380578,0.300533,0.683753,0.121978,3.91023,0.281767,0.0332787,-0.189291,22.3544,-2.76193,87.195,-0.156012,0.440941,-3.4341730028390884,-0.44918203353881836,0.298615,743.3800048828125,,,,,,,202.9,4.140816326,202.9,4.140816326,,,,,,,,,,,,,,,,,,,"Mauricio Dubon","16530",643289
"Eugenio Suárez","CIN",45,195,174,39,21,7,0,11,24,29,17,0,62,3,1,0,,1,0,0.226301,0.0882037,0.318369,0.277049,0.305252,0.456391,0.329279,0.761643,0.23009,2.53243,0.279657,-0.375093,-0.227131,25.3216,1.99922,102.054,-0.602224,-0.111843,-0.11384198069572449,-3.2982631996273994,0.296912,97.91999816894531,,,,,,,230,5.111111111,230,5.111111111,,,,,,,,,,,,,,,,,,,"Eugenio Suarez","12552",553993
"Trevor Story","BOS",27,118,110,26,17,6,0,4,13,14,6,0,34,1,1,0,,4,1,0.241115,0.0548422,0.284319,0.19289,0.288119,0.393946,0.297012,0.682065,0.152832,5.28584,0.312391,0.0483838,0.384519,12.2156,-1.88913,84.0161,0.432903,-0.796985,-1.7772986590862274,0.46968168020248413,0.296693,111.33000183105469,,,,,,,116.4,4.311111111,116.4,4.311111111,,,,,,,,,,,,,,,,,,,"Trevor Story","12564",596115
"Kyle Higashioka","TEX",20,80,73,16,10,3,0,3,8,9,6,0,20,1,0,0,,0,0,0.222872,0.0735362,0.250669,0.29336,0.283989,0.391179,0.295694,0.675168,0.168307,2.98266,0.26355,-0.154262,-0.0790032,8.18662,-1.36503,88.8,-0.233265,-0.378344,-1.282032698392868,0.9698041677474976,0.291495,999,,,,,,,74.5,3.725,74.5,3.725,,,,,,,,,,,,,,,,,,,"Kyle Higashioka","5517",543309
"Josh Smith","TEX",21,92,80,19,13,4,0,2,10,8,9,0,18,2,1,0,,2,1,0.240174,0.097219,0.192223,0.505762,0.327918,0.364727,0.309615,0.692645,0.124553,4.78687,0.283961,-0.00541467,-0.0221762,10.4422,-0.528165,98.4665,-0.0275909,-0.411554,-0.19251612201333046,-0.23871488869190216,0.290068,428.9100036621094,,,,,,,90.8,4.323809523,90.8,4.323809523,,,,,,,,,,,,,,,,,,,"Josh Smith","26396",669701
"Griffin Conine","MIA",40,171,152,35,22,6,1,6,19,21,16,0,54,2,1,0,,1,0,0.232975,0.0949441,0.317595,0.298947,0.31258,0.410599,0.317891,0.723179,0.177624,3.3894,0.313941,-0.058355,-0.17292,20.5821,0.167343,97.9315,-0.231275,0.312829,-0.6617008596658707,-2.029763877391815,0.289788,999,,,,,,,179.4,4.485,179.4,4.485,,,,,,,,,,,,,,,,,,,"Griffin Conine","21626",665052
"Jared Young","NYM",31,135,120,29,18,6,0,5,16,17,12,0,31,2,1,0,,1,0,0.240192,0.0898514,0.231182,0.388661,0.32067,0.418831,0.324972,0.739502,0.178639,3.86909,0.281853,-0.0213682,-0.106554,17.0732,0.911457,107.228,-0.127922,-0.153848,1.062845915555954,-2.6407307982444763,0.285387,999,,,,,,,150.7,4.861290322,150.7,4.861290322,,,,,,,,,,,,,,,,,,,"Jared Young","20404",676724
"Harry Ford","WSN",18,72,62,14,10,3,0,1,8,7,8,0,17,1,0,0,,1,1,0.223536,0.111789,0.239807,0.466165,0.322131,0.342613,0.301194,0.664744,0.119078,4.03064,0.282864,0,-0.0695541,7.65251,-0.902261,88.1194,-0.0695541,0.00587274,-1.105510376393795,1.406335721258074,0.284614,725.52001953125,,,,,,,60.6,3.366666666,60.6,3.366666666,,,,,,,,,,,,,,,,,,,"Harry Ford","29958",695670
"Heriberto Hernández","MIA",36,154,137,32,19,6,1,6,18,20,15,0,43,1,1,0,,3,1,0.234165,0.0983548,0.279293,0.352156,0.314917,0.428498,0.324438,0.743415,0.194334,4.54076,0.290961,-0.0840565,-0.02178,19.4025,0.972492,102.304,-0.105836,-0.163428,0.3270040675997734,-2.5314831584692,0.284425,999,,,,,,,172.6,4.794444444,172.6,4.794444444,,,,,,,,,,,,,,,,,,,"Heriberto Hernandez","24878",681715
"Brett Baty","NYM",26,114,102,24,16,4,0,4,13,13,10,0,29,1,1,0,,1,0,0.238677,0.0867643,0.254941,0.340331,0.309314,0.388908,0.308098,0.698221,0.150231,4.1237,0.296021,-0.00426468,-0.0297519,12.8141,-0.7958,95.9589,-0.0340166,-0.0498624,-0.5946067571640015,-0.32146740332245827,0.282104,292.9200134277344,,,,,,,116.5,4.48076923,116.5,4.48076923,,,,,,,,,,,,,,,,,,,"Brett Baty","26123",683146
"Taylor Trammell","HOU",25,110,96,21,12,5,0,4,13,13,12,0,33,1,1,0,,3,1,0.216667,0.106742,0.301458,0.354088,0.30802,0.394412,0.310484,0.702433,0.177746,5.14502,0.283898,-0.0246193,0.0263836,12.5315,-0.55252,98.2254,0.00176425,-0.545596,-0.22586619947105646,-0.920596182346344,0.281957,999,,,,,,,115.6,4.624,115.6,4.624,,,,,,,,,,,,,,,,,,,"Taylor Trammell","19960",666211
"Henry Davis","PIT",24,96,84,18,11,4,0,3,11,11,8,0,23,2,1,0,,1,0,0.214484,0.0839071,0.241252,0.347799,0.296689,0.369287,0.295601,0.665976,0.154803,4.05654,0.255271,-0.0666273,-0.0588372,9.76905,-1.63731,82.5106,-0.125465,0.0215281,-2.1588367223739624,1.88881204277277,0.280931,999,,,,,,,88.5,3.6875,88.5,3.6875,,,,,,,,,,,,,,,,,,,"Henry Davis","29617",680779
"Joshua Kuroda-Grauer","ATH",20,85,78,22,16,5,0,1,8,8,4,0,10,1,1,0,,2,1,0.277364,0.048649,0.112709,0.431633,0.321853,0.366805,0.30533,0.688658,0.0894405,4.23497,0.306322,0.00294737,-0.0369311,9.32311,-0.781181,91.1926,-0.0339838,0.529965,-0.9064225442707539,0.6423105970025063,0.28064,999,,,,,,,85.1,4.255,85.1,4.255,,,,,,,,,,,,,,,,,,,"Joshua Kuroda-Grauer","35121",811965
"Oswald Peraza","LAA",40,173,159,35,24,6,1,5,18,17,10,0,47,3,1,0,,7,2,0.222049,0.0599122,0.271964,0.220295,0.27981,0.351547,0.279664,0.631357,0.129498,5.49129,0.283808,0.0537412,0.444638,15.4817,-5.21664,75.0405,0.498379,0.499007,-4.566332548856735,1.0846549570560455,0.277173,999,,,,,,,153.8,3.845,153.8,3.845,,,,,,,,,,,,,,,,,,,"Oswald Peraza","22823",672724
"Masataka Yoshida","BOS",30,131,117,32,22,6,0,3,15,14,10,0,16,2,1,0,,1,0,0.273879,0.0781301,0.124049,0.629833,0.34071,0.416097,0.332909,0.756807,0.142218,3.94409,0.293528,-0.109788,-0.0191994,17.2938,1.71979,108.942,-0.128987,-0.00490624,1.2362848818302155,-3.197961871046573,0.275172,748.3300170898438,,,,,,,145.7,4.856666666,145.7,4.856666666,,,,,,,,,,,,,,,,,,,"Masataka Yoshida","31837",807799
"Kerry Carpenter","DET",31,135,123,29,17,5,1,6,16,20,9,0,34,2,1,0,,0,0,0.239426,0.0678176,0.253814,0.267193,0.300243,0.447827,0.322546,0.74807,0.208401,3.72351,0.277505,-0.052182,-0.195204,16.8063,0.644549,105.76,-0.247386,-0.233829,0.6652973741292953,-2.8055883944034576,0.274967,236.22000122070312,,,,,,,149,4.806451612,149,4.806451612,,,,,,,,,,,,,,,,,,,"Kerry Carpenter","25961",681481
"Angel Martínez","CLE",35,152,140,33,21,7,1,4,17,17,8,0,32,2,1,1,,3,1,0.238015,0.0533604,0.211376,0.252443,0.2873,0.392511,0.297054,0.679811,0.154496,5.15353,0.277838,0.114881,0.0104346,15.7212,-2.4253,89.5198,0.125316,0.51015,-1.739118367433548,-1.0176275372505188,0.272936,748.5800170898438,,,,,,,141.3,4.037142857,141.3,4.037142857,,,,,,,,,,,,,,,,,,,"Angel Martinez","26540",682657
