k,subset,r_S,r_Y,combined,se
6,stuffRaw+locRaw+xrvoe+kPct+chasePct+pitchesPerG,0.52445689029127,0.5865022610570289,0.5554795756741494,0.012579483843742552
5,xrvoe+kPct+xrv100+bestPitchXrv100+pitchesPerG,0.5220137400283277,0.5889344777847035,0.5554741089065156,0.012622886383007147
6,stuffRaw+kbbPct+cswPct+izWhiffPct+gbPct+pitchesPerG,0.5193677851815885,0.5915440214545468,0.5554559033180677,0.014950626443033606
6,xrvoe+kPct+xrv100+bestPitchXrv100+usageEntropy+pitchesPerG,0.5221985639929553,0.5887055768273093,0.5554520704101322,0.01255295016497369
6,xrvoe+kPct+xrv100+fipCore+barrelPct+pitchesPerG,0.5214402164236124,0.5894221006382271,0.5554311585309197,0.013181070611745031
6,stuffRaw+kPct+cswPct+xrv100+xwobacon+pitchesPerG,0.5206805387799376,0.5901780197666681,0.5554292792733029,0.013703889552031933
6,xrvoe+kPct+whiffPct+chasePct+xrv100+pitchesPerG,0.5271606536912726,0.58369004666119,0.5554253501762313,0.011082498851265688
6,xrvoe+kPct+whiffPct+xrv100+usageEntropy+pitchesPerG,0.524976972039819,0.585861031209734,0.5554190016247764,0.011850719307024762
6,stuffRaw+kPct+izWhiffPct+chasePct+weakSideXrv100+pitchesPerG,0.5218287497873341,0.5889919432987447,0.5554103465430393,0.013615290705205707
6,stuffRaw+xrvoe+kbbPct+whiffPct+xrv100+pitchesPerG,0.5253351514422335,0.5854773703753923,0.5554062609088128,0.01198759789497548
6,stuffRaw+kPct+xrv100+xwobacon+barrelPct+pitchesPerG,0.5176413497111457,0.5931610443499263,0.555401197030536,0.014609044224816818
6,stuffRaw+locRaw+kbbPct+whiffPct+xrv100+pitchesPerG,0.5264962816689625,0.5842983141445864,0.5553972979067745,0.012118356238774724
6,stuffRaw+kPct+xrv100+xwobacon+bestPitchXrv100+pitchesPerG,0.5179618452073217,0.592786790372585,0.5553743177899533,0.01422819104118348
6,stuffRaw+xrvoe+kbbPct+izWhiffPct+xrv100+pitchesPerG,0.5233351172372593,0.5874028949862956,0.5553690061117775,0.012870085640143162
6,xrvoe+kPct+chasePct+xrv100+usageEntropy+pitchesPerG,0.5260727423981908,0.5846631636605263,0.5553679530293585,0.011322759955235845
6,stuffRaw+xrvoe+kbbPct+izWhiffPct+gbPct+pitchesPerG,0.5184191142896007,0.5923139890394266,0.5553665516645137,0.015245434765536305
6,stuffRaw+kPct+kbbPct+izWhiffPct+gbPct+pitchesPerG,0.5177090108822275,0.5930066898341387,0.5553578503581831,0.015281051131760148
6,xrvoe+kPct+xrv100+fipCore+bestPitchXrv100+pitchesPerG,0.5223413297167937,0.5883683941695724,0.5553548619431831,0.012651814279918785
6,stuffRaw+locRaw+kPct+gbPct+usageEntropy+pitchesPerG,0.5224814060012425,0.5882278063045829,0.5553546061529127,0.013334097247076543
6,stuffRaw+kPct+chasePct+xrv100+usageEntropy+pitchesPerG,0.5220286305562934,0.5886482928232409,0.5553384616897672,0.01322392195335575
5,xrvoe+kPct+whiffPct+xrv100+pitchesPerG,0.5244948455445752,0.5861578507808436,0.5553263481627093,0.012063900155365024
5,stuffRaw+kPct+chasePct+xrv100+pitchesPerG,0.5215165931136878,0.589135483121011,0.5553260381173495,0.013487646581610571
6,xrvoe+putawayPct+izWhiffPct+xrv100+gbPct+pitchesPerG,0.5240056006764491,0.5866385299051936,0.5553220652908213,0.012882586126415971
6,stuffRaw+kPct+chasePct+xrv100+xwobacon+pitchesPerG,0.5222309883530156,0.5884017926767605,0.5553163905148881,0.013184180738565351
6,stuffRaw+kbbPct+izWhiffPct+xrv100+bestPitchXrv100+pitchesPerG,0.5207083094213052,0.5899123080313329,0.555310308726319,0.013769589154694157
6,stuffRaw+locRaw+kbbPct+izWhiffPct+xrv100+pitchesPerG,0.5236863495739187,0.5868896917754222,0.5552880206746704,0.01298328853455256
6,stuffRaw+kbbPct+izWhiffPct+chasePct+xrv100+pitchesPerG,0.5247674742304448,0.5857761418451873,0.5552718080378161,0.01271973525726691
6,stuffRaw+xrvoe+kPct+kbbPct+xrv100+pitchesPerG,0.521072943354793,0.589454233591948,0.5552635884733705,0.013230596309944944
6,stuffRaw+locRaw+kPct+chasePct+weakSideXrv100+pitchesPerG,0.524191894804123,0.5863007306201692,0.5552463127121461,0.012692295015093287
6,stuffRaw+kbbPct+izWhiffPct+xrv100+barrelPct+pitchesPerG,0.5201467853269084,0.5903292835935774,0.5552380344602429,0.014376668250070201
6,xrvoe+fbVelo+kPct+cswPct+xrv100+pitchesPerG,0.5250541769062286,0.5853692431603766,0.5552117100333026,0.012038077469892572
6,stuffRaw+kPct+kbbPct+chasePct+barrelPct+pitchesPerG,0.5202755913569183,0.5901059868047589,0.5551907890808385,0.014027758156862564
6,xrvoe+fbVelo+kPct+xrv100+barrelPct+pitchesPerG,0.5214440929911038,0.588930006498797,0.5551870497449505,0.01319825110683284
6,stuffRaw+locRaw+xrvoe+kPct+xrv100+pitchesPerG,0.5226795889956813,0.5876884533274077,0.5551840211615445,0.01292678486326468
6,stuffRaw+fbVelo+kbbPct+izWhiffPct+gbPct+pitchesPerG,0.5181056943179224,0.5922550738048132,0.5551803840613678,0.015370649030570225
6,xrvoe+kPct+cswPct+xrv100+xwobacon+pitchesPerG,0.5249096632676978,0.5854450444541619,0.5551773538609299,0.011935166014479371
6,stuffRaw+kPct+cswPct+xrv100+gbPct+pitchesPerG,0.5179707042282972,0.5923828726317204,0.5551767884300087,0.014923115553977915
