Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Didier Fuentes","ATL",0.831698,0.541967,0,4.21213,21,0,0,4.4043,,15.8115,67.6234,14.6049,7.99,7.4,2.15217,5.31138,0.410797,0.707812,18.033,10.2645,3.02327,3.39516,1.22503,0.266668,0.0785435,0.18812422454357147,0.237076,1.25961,0.300652,0.705561,,,3.74026,0.169169,0.0513245,600.4400024414062,,,,,,,88.80000000000001,5.550000000000001,88,5.5,,,,,,,,,,,,,,,,,,,"Didier Fuentes","30661",800311
"AJ Smith-Shawver","ATL",1.18858,1.29679,0.831929,4.97281,9,3,0,0.2359,,20.8494,90.792,19.9094,12.32,11.52,3.31221,8.76684,0.24945,0.841051,20.4823,8.84155,3.78436,2.33634,1.42977,0.225596,0.0965596,0.12903639674186707,0.245237,1.3754,0.289202,0.6804,,,4.59263,0.168404,0.0667646,999,,,,,,,76.5,3.642857142857143,76,3.619047619047619,,,,,,,,,,,,,,,,,,,"AJ Smith-Shawver","29960",700363
"Spencer Arrighetti","HOU",1.69879,1.45853,1.65539,4.96508,7,4,0,0.2147,,25.2141,110.431,22.6716,14.83,13.91,4.11344,12.2857,0.141371,1.73513,24.9579,8.90855,4.38529,2.03146,1.46827,0.226004,0.111252,0.11475209146738052,0.235157,1.38642,0.275592,0.689327,,,4.91909,0.166773,0.0497527,728.3099975585938,,,,,,,84.00000000000001,3.3600000000000008,81,3.24,,,,,,,,,,,,,,,,,,,"Spencer Arrighetti","29921",681293
"Mason Englert","TBR",1.21269,2.23752,1.09434,4.82873,12,4,0,0.2446,,27.0816,115.756,27.3083,15.6,14.53,5.0013,7.52476,0.271591,1.20938,23.1986,7.70956,2.50069,3.08297,1.66207,0.20041,0.0650054,0.1354043409228325,0.255166,1.28622,0.283005,0.69106,,,4.7648,0.165082,0.0292717,999,,,,,,,87.10000000000001,3.2259259259259263,89,3.2962962962962963,,,,,,,,,,,,,,,,,,,"Mason Englert","22288",669438
"Edwin Díaz","LAD",0.992892,0.328947,0,3.95686,21,0,8.959,2.1269,,13.6927,57.8083,10.9483,6.5,6.02,1.82648,5.20225,0.178847,1.23205,18.2203,11.9759,3.41936,3.50239,1.20052,0.315185,0.0899914,0.22519320994615555,0.213109,1.1795,0.291177,0.709939,,,3.59222,0.164943,0.146746,33,,,,,,,121.40000000000003,8.671428571428574,115,8.214285714285714,,,,,,,,,,,,,,,,,,,"Edwin Diaz","14710",621242
"Jeremiah Estrada","SDP",0.723711,0.448791,0,3.61017,18,0,0.361,5.2752,,12.5894,52.6597,9.61868,5.45,5.05,1.65319,5.25263,0.259109,0.391167,15.8651,11.3417,3.75503,3.02041,1.18184,0.301276,0.0997466,0.2015293836593628,0.204583,1.18125,0.270038,0.750292,,,3.64133,0.161573,0.194886,623.5800170898438,,,,,,,82.6,6.3538461538461535,76,5.846153846153846,,,,,,,,,,,,,,,,,,,"Jeremiah Estrada","22210",669093
"Bennett Sousa","HOU",0.830041,0.426169,0,3.80764,20,0,0,4.0087,,13.8275,58.0752,11.9571,6.33,5.85,1.699,4.84895,0.307512,0.344532,15.5759,10.138,3.15608,3.21223,1.10584,0.268203,0.0834943,0.18470856547355652,0.22611,1.21541,0.288094,0.726119,,,3.58093,0.160816,0.146769,999,,,,,,,80.80000000000003,5.771428571428573,77,5.5,,,,,,,,,,,,,,,,,,,"Bennett Sousa","21345",656986
"Javier Assad","CHC",1.4643,1.38334,0.805382,4.59253,15,3,0,0.2224,,26.162,113.096,26.0864,14.38,13.35,3.39554,9.7876,0.299257,1.02395,19.018,6.54237,3.36703,1.94307,1.1681,0.168158,0.0865426,0.08161555975675583,0.255038,1.37122,0.284095,0.690675,,,4.58288,0.160575,0.126766,999,,,,,,,92.9,3.5730769230769233,96,3.6923076923076925,,,,,,,,,,,,,,,,,,,"Javier Assad","21741",665871
"Alex Vesia","LAD",1.00794,0.302134,0,3.58699,20,0,0.413,4.8539,,13.0221,53.5586,9.45928,5.61,5.19,1.97471,4.90132,0.322699,0.52241,16.4653,11.3797,3.38747,3.35936,1.36479,0.307425,0.0915132,0.2159123346209526,0.196516,1.10279,0.252049,0.754622,,,3.80177,0.159065,0.0925303,743.4199829101562,,,,,,,82.19999999999999,6.323076923076922,73,5.615384615384615,,,,,,,,,,,,,,,,,,,"Alex Vesia","25007",681911
"Jovani Morán","BOS",0.849603,0.573091,0,3.72781,20,0,0,3.6483,,15.0169,63.8211,11.9751,6.7,6.22,1.59075,6.94628,0.309981,0.645718,16.7441,10.0352,4.16309,2.41052,0.953378,0.262361,0.10884,0.15352076292037964,0.21297,1.26001,0.274035,0.732068,,,3.77348,0.15777,0.0989531,999,,,,,,,81.2,5.413333333333333,75,5,,,,,,,,,,,,,,,,,,,"Jovani Moran","20422",663558
"Kodai Senga","NYM",1.10867,0.930605,0.53273,4.47205,12,2,0,0.2155,,19.2797,84.3674,17.536,10.3,9.58,2.53251,9.64556,0.264687,0.770487,20.2365,9.44663,4.50266,2.09801,1.18221,0.239862,0.114328,0.12553369998931885,0.237128,1.40985,0.293137,0.714229,,,4.33888,0.157761,0.105323,223.52000427246094,,,,,,,63.89999999999999,3.3631578947368417,63,3.3157894736842106,,,,,,,,,,,,,,,,,,,"Kodai Senga","31838",673540
"Owen Murphy","ATL",0.926173,0.92749,0.547633,4.65219,9,2,0,0.2359,,17.2177,74.1044,16.2419,9.57,8.9,2.72576,6.3344,0.304359,0.740509,16.6094,8.68203,3.31111,2.62209,1.42481,0.224135,0.0854794,0.13865532726049423,0.242309,1.31123,0.28339,0.693291,,,4.47117,0.157516,0.00401115,999,,,,,,,60.300000000000004,3.547058823529412,59,3.4705882352941178,,,,,,,,,,,,,,,,,,,"Owen Murphy","31761",702566
"David Bednar","NYY",0.953236,0.515592,0,3.69284,22,0,11.079,0.521,,14.4036,59.6481,11.6664,6.35,5.91,1.89988,4.87318,0.290267,0.458429,16.1936,10.1185,3.04499,3.323,1.18713,0.271485,0.0816988,0.18978632986545563,0.214786,1.1483,0.269622,0.734133,,,3.68639,0.154861,0.146725,64.05999755859375,,,,,,,123.80000000000003,8.842857142857145,120,8.571428571428571,,,,,,,,,,,,,,,,,,,"David Bednar","19569",670280
